"id","Platform","URL","latest_price","previous_price","price_change","price_status"
252,"淘系","https://detail.tmall.com/item.htm?id=895125620709","823.65","969",-145.35000000000002,"注意，商品降价"
259,"米家有品","https://www.xiaomiyoupin.com/detail?gid=176835","1499","1399",100,"涨价"
261,"米家有品","https://m.xiaomiyoupin.com/detail?gid=176640","1999","3899",-1900,"注意，商品降价"
262,"米家有品","https://www.xiaomiyoupin.com/detail?gid=171459","879","949",-70,"注意，商品降价"
266,"米家有品","https://m.xiaomiyoupin.com/detail?gid=103805","969","999",-30,"注意，商品降价"
273,"米家有品","https://m.xiaomiyoupin.com/detail?gid=171451","1449","719",730,"注意，商品降价"
278,"米家有品","https://m.xiaomiyoupin.com/detail?gid=176747","1149","1249",-100,"注意，商品降价"
279,"米家有品","https://m.xiaomiyoupin.com/detail?gid=171094","2249","2349",-100,"注意，商品降价"
282,"京东","https://item.jd.com/100147404904.html","1649","1699.00",-50,"注意，商品降价"
284,"京东","https://item.jd.com/100167111617.html","2787.8","2798.90",-11.099999999999909,"注意，商品降价"
286,"京东","https://item.jd.com/10110061303564.html","1149","1199.00",-50,"注意，商品降价"
289,"京东","https://item.jd.com/10091941834784.html","799","899",-100,"注意，商品降价"
291,"京东","https://item.jd.com/10090536608549.html","699","799.00",-100,"注意，商品降价"
293,"京东","https://item.jd.com/10095813745701.html","479","529",-50,"注意，商品降价"
294,"京东","https://item.jd.com/10095813745702.html","598","648",-50,"注意，商品降价"
295,"京东","https://item.jd.com/10093517817555.html","623.2","663.2",-40,"注意，商品降价"
297,"京东","https://item.jd.com/100070514318.html","869","695.2",173.79999999999995,"涨价"
298,"京东","https://item.jd.com/100147404880.html","568","455.2",112.80000000000001,"涨价"
304,"京东","https://item.jd.com/10168148349008.html","628.99","729.00",-100.00999999999999,"注意，商品降价"
308,"京东","https://item.jd.com/10168128067583.html","849","899",-50,"注意，商品降价"
309,"京东","https://item.jd.com/100193851271.html","1571.65","1699.15",-127.5,"注意，商品降价"
