查询的商品ID,活动ID,活动名称,活动类型,系统推送时间
244055989700,22148,百亿补贴-百亿加倍补-特定商品报名链接,百亿补贴,无
244055989700,22827,百亿补贴报名入口-政府补贴（快速通道）,百亿补贴,无
819506595979,21967,【上首页】流量续航（极速审核）,首页推荐专区,无
819506595979,22148,百亿补贴-百亿加倍补-特定商品报名链接,百亿补贴,无
819506595979,23149,平台官方活动-长期-搜索推荐专区,大促搜索池,无
819506595979,20981,【10周年庆】20981长期报名入口,大促搜索池,无
819506595979,21610,平台官方大促-晋升长期活动报名,大促搜索池,无
819506595979,23620,【10周年庆】-国庆中秋搜索推荐报名专区,大促搜索池,无
819506595979,18425,百补商家自主降价链接,百亿补贴,无
819506595979,23581,百亿补贴报名入口-全国活动,百亿补贴,无
225501370546,18425,百补商家自主降价链接,百亿补贴,无
225501370546,22148,百亿补贴-百亿加倍补-特定商品报名链接,百亿补贴,无
225501370546,22181,百亿加倍补-电器非爆款报名,百亿补贴,无
225501370546,22180,百亿加倍补-电器大爆款报名,百亿补贴,无
225501370546,22181,百亿加倍补-电器非爆款报名,百亿补贴,无
225501370546,21663,【百亿消费券】单件折扣9折,品牌清仓,无
225501370546,22258,百亿补贴官补晋升自补,百亿补贴,无
225501370546,20453,百亿补贴电器限时降价,百亿补贴,无
225501370546,10441,百亿补贴报名入口,百亿补贴,无
225501370546,21581,百亿补贴同价上首页,百亿补贴同价上首页,无
480070620581,22148,百亿补贴-百亿加倍补-特定商品报名链接,百亿补贴,无
480070620581,22148,百亿补贴-百亿加倍补-特定商品报名链接,百亿补贴,无
480070620581,22704,【百亿消费券】单件折扣9.7折,品牌清仓,无
480070620581,21657,【百亿消费券】活动长期报名链接,品牌清仓,无
480070620581,10441,百亿补贴报名入口,百亿补贴,无
480070620581,21581,百亿补贴同价上首页,百亿补贴同价上首页,无
364990106384,22148,百亿补贴-百亿加倍补-特定商品报名链接,百亿补贴,无
364990106384,21663,【百亿消费券】单件折扣9折,品牌清仓,无
364990106384,21657,【百亿消费券】活动长期报名链接,品牌清仓,无
364990106384,21581,百亿补贴同价上首页,百亿补贴同价上首页,无
364990106384,10441,百亿补贴报名入口,百亿补贴,无
