排序,商品名称,别名,商品ID,链接,登记日期,活动ID,活动名称,活动类型,系统推送时间,可报名
1,【母婴直饮】云米净水器 SE 600G+ 新升级厨下式RO反渗透直饮家用,小海豚600G+（新）,8.19507E+11,https://mobile.yangkeduo.com/goods.html?goods_id=819506595979,2025/9/30,21967,【上首页】流量续航（极速审核）,首页推荐专区,2025/9/30 9:06,https://mms.pinduoduo.com/act/detail?id=21967&SourceType=PROMO-ActivityEnrollListDetail
1,【母婴直饮】云米净水器 SE 600G+ 新升级厨下式RO反渗透直饮家用,小海豚600G+（新）,8.19507E+11,https://mobile.yangkeduo.com/goods.html?goods_id=819506595979,2025/9/30,22148,百亿补贴-百亿加倍补-特定商品报名链接,百亿补贴,2025/9/29 19:48,https://mms.pinduoduo.com/act/detail?id=22148&SourceType=PROMO-ActivityEnrollListDetail
1,【母婴直饮】云米净水器 SE 600G+ 新升级厨下式RO反渗透直饮家用,小海豚600G+（新）,8.19507E+11,https://mobile.yangkeduo.com/goods.html?goods_id=819506595979,2025/9/30,23149,平台官方活动-长期-搜索推荐专区,大促搜索池,2025/9/28 10:50,https://mms.pinduoduo.com/act/detail?id=23149&SourceType=PROMO-ActivityEnrollListDetail
1,【母婴直饮】云米净水器 SE 600G+ 新升级厨下式RO反渗透直饮家用,小海豚600G+（新）,8.19507E+11,https://mobile.yangkeduo.com/goods.html?goods_id=819506595979,2025/9/30,20981,【10周年庆】20981长期报名入口,大促搜索池,2025/9/27 14:49,https://mms.pinduoduo.com/act/detail?id=20981&SourceType=PROMO-ActivityEnrollListDetail
1,【母婴直饮】云米净水器 SE 600G+ 新升级厨下式RO反渗透直饮家用,小海豚600G+（新）,8.19507E+11,https://mobile.yangkeduo.com/goods.html?goods_id=819506595979,2025/9/30,21610,平台官方大促-晋升长期活动报名,大促搜索池,2025/9/27 14:49,不支持主动报名
1,【母婴直饮】云米净水器 SE 600G+ 新升级厨下式RO反渗透直饮家用,小海豚600G+（新）,8.19507E+11,https://mobile.yangkeduo.com/goods.html?goods_id=819506595979,2025/9/30,23620,【10周年庆】-国庆中秋搜索推荐报名专区,大促搜索池,2025/9/27 14:48,https://mms.pinduoduo.com/act/detail?id=23620&SourceType=PROMO-ActivityEnrollListDetail
1,【母婴直饮】云米净水器 SE 600G+ 新升级厨下式RO反渗透直饮家用,小海豚600G+（新）,8.19507E+11,https://mobile.yangkeduo.com/goods.html?goods_id=819506595979,2025/9/30,18425,百补商家自主降价链接,百亿补贴,2025/9/26 9:46,不支持主动报名
1,【母婴直饮】云米净水器 SE 600G+ 新升级厨下式RO反渗透直饮家用,小海豚600G+（新）,8.19507E+11,https://mobile.yangkeduo.com/goods.html?goods_id=819506595979,2025/9/30,23581,百亿补贴报名入口-全国活动,百亿补贴,2025/9/18 13:53,https://mms.pinduoduo.com/act/detail?id=23581&SourceType=PROMO-ActivityEnrollListDetail
2,【25年新品0陈水】云米净水器小海豚2 1000G家用直饮厨下RO反渗透,小海豚2 1000G,2.44056E+11,https://mobile.yangkeduo.com/goods.html?goods_id=244055989700,2025/9/30,22148,百亿补贴-百亿加倍补-特定商品报名链接,百亿补贴,2025/9/29 19:48,https://mms.pinduoduo.com/act/detail?id=22148&SourceType=PROMO-ActivityEnrollListDetail
2,【25年新品0陈水】云米净水器小海豚2 1000G家用直饮厨下RO反渗透,小海豚2 1000G,2.44056E+11,https://mobile.yangkeduo.com/goods.html?goods_id=244055989700,2025/9/30,22827,百亿补贴报名入口-政府补贴（快速通道）,百亿补贴,2025/9/23 15:06,https://mms.pinduoduo.com/act/detail?id=22827&SourceType=PROMO-ActivityEnrollListDetail
3,【重磅新品】云米净水器600G小海豚升级版厨下式RO反渗透直饮家用,小海豚600G+（老）,2.25501E+11,https://mobile.yangkeduo.com/goods.html?goods_id=225501370546,2025/9/30,18425,百补商家自主降价链接,百亿补贴,2025/9/29 16:58,不支持主动报名
3,【重磅新品】云米净水器600G小海豚升级版厨下式RO反渗透直饮家用,小海豚600G+（老）,2.25501E+11,https://mobile.yangkeduo.com/goods.html?goods_id=225501370546,2025/9/30,22148,百亿补贴-百亿加倍补-特定商品报名链接,百亿补贴,2025/9/29 13:51,https://mms.pinduoduo.com/act/detail?id=22148&SourceType=PROMO-ActivityEnrollListDetail
3,【重磅新品】云米净水器600G小海豚升级版厨下式RO反渗透直饮家用,小海豚600G+（老）,2.25501E+11,https://mobile.yangkeduo.com/goods.html?goods_id=225501370546,2025/9/30,22181,百亿加倍补-电器非爆款报名,百亿补贴,2025/9/29 13:49,https://mms.pinduoduo.com/act/detail?id=22181&SourceType=PROMO-ActivityEnrollListDetail
3,【重磅新品】云米净水器600G小海豚升级版厨下式RO反渗透直饮家用,小海豚600G+（老）,2.25501E+11,https://mobile.yangkeduo.com/goods.html?goods_id=225501370546,2025/9/30,22180,百亿加倍补-电器大爆款报名,百亿补贴,2025/9/28 17:05,https://mms.pinduoduo.com/act/detail?id=22180&SourceType=PROMO-ActivityEnrollListDetail
3,【重磅新品】云米净水器600G小海豚升级版厨下式RO反渗透直饮家用,小海豚600G+（老）,2.25501E+11,https://mobile.yangkeduo.com/goods.html?goods_id=225501370546,2025/9/30,22181,百亿加倍补-电器非爆款报名,百亿补贴,2025/9/28 17:07,https://mms.pinduoduo.com/act/detail?id=22181&SourceType=PROMO-ActivityEnrollListDetail
3,【重磅新品】云米净水器600G小海豚升级版厨下式RO反渗透直饮家用,小海豚600G+（老）,2.25501E+11,https://mobile.yangkeduo.com/goods.html?goods_id=225501370546,2025/9/30,21663,【百亿消费券】单件折扣9折,品牌清仓,2025/6/16 11:55,https://mms.pinduoduo.com/act/detail?id=21663&SourceType=PROMO-ActivityEnrollListDetail
3,【重磅新品】云米净水器600G小海豚升级版厨下式RO反渗透直饮家用,小海豚600G+（老）,2.25501E+11,https://mobile.yangkeduo.com/goods.html?goods_id=225501370546,2025/9/30,22258,百亿补贴官补晋升自补,百亿补贴,2024/12/4 18:24,不支持主动报名
3,【重磅新品】云米净水器600G小海豚升级版厨下式RO反渗透直饮家用,小海豚600G+（老）,2.25501E+11,https://mobile.yangkeduo.com/goods.html?goods_id=225501370546,2025/9/30,20453,百亿补贴电器限时降价,百亿补贴,2024/12/4 18:24,不支持主动报名
3,【重磅新品】云米净水器600G小海豚升级版厨下式RO反渗透直饮家用,小海豚600G+（老）,2.25501E+11,https://mobile.yangkeduo.com/goods.html?goods_id=225501370546,2025/9/30,10441,百亿补贴报名入口,百亿补贴,2024/12/3 20:55,https://mms.pinduoduo.com/act/detail?id=10441&SourceType=PROMO-ActivityEnrollListDetail
3,【重磅新品】云米净水器600G小海豚升级版厨下式RO反渗透直饮家用,小海豚600G+（老）,2.25501E+11,https://mobile.yangkeduo.com/goods.html?goods_id=225501370546,2025/9/30,21581,百亿补贴同价上首页,百亿补贴同价上首页,2024/5/26 15:55,不支持主动报名
4,【冷热直饮套装】云米净水器家用厨下管线机套装一键即热制冷直饮,小海豚600G+冷热管线机套装,4.80071E+11,https://mobile.yangkeduo.com/goods.html?goods_id=480070620581,2025/9/30,22148,百亿补贴-百亿加倍补-特定商品报名链接,百亿补贴,2025/9/29 19:48,https://mms.pinduoduo.com/act/detail?id=22148&SourceType=PROMO-ActivityEnrollListDetail
4,【冷热直饮套装】云米净水器家用厨下管线机套装一键即热制冷直饮,小海豚600G+冷热管线机套装,4.80071E+11,https://mobile.yangkeduo.com/goods.html?goods_id=480070620581,2025/9/30,22148,百亿补贴-百亿加倍补-特定商品报名链接,百亿补贴,2025/9/29 19:48,https://mms.pinduoduo.com/act/detail?id=22148&SourceType=PROMO-ActivityEnrollListDetail
4,【冷热直饮套装】云米净水器家用厨下管线机套装一键即热制冷直饮,小海豚600G+冷热管线机套装,4.80071E+11,https://mobile.yangkeduo.com/goods.html?goods_id=480070620581,2025/9/30,22704,【百亿消费券】单件折扣9.7折,品牌清仓,2025/7/17 15:45,https://mms.pinduoduo.com/act/detail?id=22704&SourceType=PROMO-ActivityEnrollListDetail
