排序,商品名称,别名,商品ID,链接,登记日期,活动ID,活动名称,活动类型,系统推送时间
1,【母婴直饮】云米净水器 SE 600G+ 新升级厨下式RO反渗透直饮家用,小海豚600G+（新）,819506595979,https://mobile.yangkeduo.com/goods.html?goods_id=819506595979,2025-10-08,23365,月卡专享价—拼多多官方会员活动快速报名,月卡会员活动,2025-10-08 13:52:23
1,【母婴直饮】云米净水器 SE 600G+ 新升级厨下式RO反渗透直饮家用,小海豚600G+（新）,819506595979,https://mobile.yangkeduo.com/goods.html?goods_id=819506595979,2025-10-08,22496,广告商品-大促专属报名通道,大促搜索池,2025-10-08 11:10:42
1,【母婴直饮】云米净水器 SE 600G+ 新升级厨下式RO反渗透直饮家用,小海豚600G+（新）,819506595979,https://mobile.yangkeduo.com/goods.html?goods_id=819506595979,2025-10-08,22473,百亿长期合资券品类活动报名链接（46）,百亿补贴,2025-10-08 09:06:02
1,【母婴直饮】云米净水器 SE 600G+ 新升级厨下式RO反渗透直饮家用,小海豚600G+（新）,819506595979,https://mobile.yangkeduo.com/goods.html?goods_id=819506595979,2025-10-08,21374,平台官方活动-长期-搜索推荐专区,大促搜索池,2025-10-06 16:44:23
1,【母婴直饮】云米净水器 SE 600G+ 新升级厨下式RO反渗透直饮家用,小海豚600G+（新）,819506595979,https://mobile.yangkeduo.com/goods.html?goods_id=819506595979,2025-10-08,21967,【上首页】流量续航（极速审核）,首页推荐专区,2025-09-30 09:06:31
1,【母婴直饮】云米净水器 SE 600G+ 新升级厨下式RO反渗透直饮家用,小海豚600G+（新）,819506595979,https://mobile.yangkeduo.com/goods.html?goods_id=819506595979,2025-10-08,23149,平台官方活动-长期-搜索推荐专区,大促搜索池,2025-09-28 10:50:34
1,【母婴直饮】云米净水器 SE 600G+ 新升级厨下式RO反渗透直饮家用,小海豚600G+（新）,819506595979,https://mobile.yangkeduo.com/goods.html?goods_id=819506595979,2025-10-08,20981,【10周年庆】20981长期报名入口,大促搜索池,2025-09-27 14:49:52
1,【母婴直饮】云米净水器 SE 600G+ 新升级厨下式RO反渗透直饮家用,小海豚600G+（新）,819506595979,https://mobile.yangkeduo.com/goods.html?goods_id=819506595979,2025-10-08,21610,平台官方大促-晋升长期活动报名,大促搜索池,2025-09-27 14:49:05
1,【母婴直饮】云米净水器 SE 600G+ 新升级厨下式RO反渗透直饮家用,小海豚600G+（新）,819506595979,https://mobile.yangkeduo.com/goods.html?goods_id=819506595979,2025-10-08,23620,【10周年庆】-国庆中秋搜索推荐报名专区,大促搜索池,2025-09-27 14:48:58
1,【母婴直饮】云米净水器 SE 600G+ 新升级厨下式RO反渗透直饮家用,小海豚600G+（新）,819506595979,https://mobile.yangkeduo.com/goods.html?goods_id=819506595979,2025-10-08,18425,百补商家自主降价链接,百亿补贴,2025-09-26 09:46:37
2,【25年新品0陈水】云米净水器小海豚2 1000G家用直饮厨下RO反渗透,小海豚2 1000G,244055989700,https://mobile.yangkeduo.com/goods.html?goods_id=244055989700,2025-10-08,23365,月卡专享价—拼多多官方会员活动快速报名,月卡会员活动,2025-10-08 13:52:23
2,【25年新品0陈水】云米净水器小海豚2 1000G家用直饮厨下RO反渗透,小海豚2 1000G,244055989700,https://mobile.yangkeduo.com/goods.html?goods_id=244055989700,2025-10-08,21967,【上首页】流量续航（极速审核）,首页推荐专区,2025-09-30 12:06:52
2,【25年新品0陈水】云米净水器小海豚2 1000G家用直饮厨下RO反渗透,小海豚2 1000G,244055989700,https://mobile.yangkeduo.com/goods.html?goods_id=244055989700,2025-10-08,22827,百亿补贴报名入口-政府补贴（快速通道）,百亿补贴,2025-09-23 15:06:41
3,【重磅新品】云米净水器600G小海豚升级版厨下式RO反渗透直饮家用,小海豚600G+（老）,225501370546,https://mobile.yangkeduo.com/goods.html?goods_id=225501370546,2025-10-08,23365,月卡专享价—拼多多官方会员活动快速报名,月卡会员活动,2025-10-08 13:52:22
3,【重磅新品】云米净水器600G小海豚升级版厨下式RO反渗透直饮家用,小海豚600G+（老）,225501370546,https://mobile.yangkeduo.com/goods.html?goods_id=225501370546,2025-10-08,21502,【上首页】极速通道（流量立享）,首页推荐专区,2025-10-08 11:10:55
3,【重磅新品】云米净水器600G小海豚升级版厨下式RO反渗透直饮家用,小海豚600G+（老）,225501370546,https://mobile.yangkeduo.com/goods.html?goods_id=225501370546,2025-10-08,23149,平台官方活动-长期-搜索推荐专区,大促搜索池,2025-10-08 09:00:32
3,【重磅新品】云米净水器600G小海豚升级版厨下式RO反渗透直饮家用,小海豚600G+（老）,225501370546,https://mobile.yangkeduo.com/goods.html?goods_id=225501370546,2025-10-08,21663,【百亿消费券】单件折扣9折,品牌清仓,2025-06-16 11:55:44
3,【重磅新品】云米净水器600G小海豚升级版厨下式RO反渗透直饮家用,小海豚600G+（老）,225501370546,https://mobile.yangkeduo.com/goods.html?goods_id=225501370546,2025-10-08,22258,百亿补贴官补晋升自补,百亿补贴,2024-12-04 18:24:09
3,【重磅新品】云米净水器600G小海豚升级版厨下式RO反渗透直饮家用,小海豚600G+（老）,225501370546,https://mobile.yangkeduo.com/goods.html?goods_id=225501370546,2025-10-08,20453,百亿补贴电器限时降价,百亿补贴,2024-12-04 18:24:01
3,【重磅新品】云米净水器600G小海豚升级版厨下式RO反渗透直饮家用,小海豚600G+（老）,225501370546,https://mobile.yangkeduo.com/goods.html?goods_id=225501370546,2025-10-08,10441,百亿补贴报名入口,百亿补贴,2024-12-03 20:55:59
