本次排名,上次排名,排名变化,商品ID,商品标题,品牌,国补后价格,付款人数,最新价格,最新付款人数,付款金额,店铺名称,商品链接,备注,8-19_付款人数,8-19_价格,8-20_付款人数,8-20_价格,8-22_付款人数,8-22_价格,页码
1,1,持平,6.72129E+11,爵象全自动指纹锁家用防盗门人脸识别智能门锁入户门电子锁密码锁,爵象,390.15,6000,378.6,7219,2733113.4,爵象旗舰店,https://detail.tmall.com/item.htm?id=672129266274&ns=1&abbucket=6&xxc=taobaoSearch&umpChannel=bybtqdyh&u_channel=bybtqdyh&fpChannel=101&fpChannelSig=9484381ffb457805599a66dd57b38cd81a67040c&mi_id=0000VtuRb9qMUbDbzd_f52Ikj2D7PLwO303xhARnebYxZE4&skuId=4834728676867&priceTId=214781f817555875122823867e0f19&utparam=%7B%22aplus_abtest%22%3A%221855d8c71bd72536257bf887084ba3f4%22%7D&spm=a21n57.1.item.2,销量为估算值; 合并了2个相似商品; ,7212,378.6,7000,同上,7219,同上,
2,2,持平,6.92861E+11,小米智能门锁E30 小米指纹锁家用防盗门密码锁智能门锁智能锁门锁,小米,699,7411,674.02,7000,4718140,小米官方旗舰店,https://detail.tmall.com/item.htm?id=692860692406&ns=1&abbucket=6&xxc=taobaoSearch&umpChannel=bybtqdyh&u_channel=bybtqdyh&fpChannel=101&fpChannelSig=d12e3e538af518bc65ceda8a7ebce9cc7dea2bb6&mi_id=0000U95oLYNOelvfHwKTIB7JdzbMbDwTc9GZLjQLx_pcW4c&skuId=5598237165611&priceTId=214781f817555875122823867e0f19&utparam=%7B%22aplus_abtest%22%3A%22c9e1ef8d351650039097df43791ad40d%22%7D&spm=a21n57.1.item.3,合并了2个相似商品; ,7000,674.02,6000,624.02,7000,674.02,
3,3,持平,8.16808E+11,德力西指纹锁家用防盗门智能门锁入户门智能锁电子锁木门密码锁,德力西,339.15,4300,334.05,4130,1379626.5,德力西智能锁旗舰店,https://detail.tmall.com/item.htm?id=816808026496&ns=1&abbucket=6&xxc=taobaoSearch&umpChannel=bybtqdyh&u_channel=bybtqdyh&fpChannel=101&fpChannelSig=05f9cfb364a0438a63737f1640083839b30dda89&mi_id=00006Enj8crbXF09V6XySb5QtIOqeMjJG_4qFEZ5cA7hdmA&skuId=5686200215804&priceTId=214781f817555875122823867e0f19&utparam=%7B%22aplus_abtest%22%3A%2246faf684b543e8c2a5a74539ae2b502e%22%7D&spm=a21n57.1.item.7,合并了3个相似商品; ,4244,334.05,4200,同上,4130,同上,
4,5,上涨1,8.4288E+11,小米智能门锁E30大屏猫眼指纹锁家用防盗门密码锁智能门锁电子锁,小米,1019.15,1069,985.17,4023,3963338.91,小米官方旗舰店,https://detail.tmall.com/item.htm?id=842879677119&ns=1&abbucket=6&xxc=taobaoSearch&umpChannel=bybtqdyh&u_channel=bybtqdyh&fpChannel=101&fpChannelSig=e357b369f168bcac0b6f1c5eeab4a73f4c6b569a&mi_id=0000XCvq6QGR04JqfDKWk_7PnJsoUl3VUd5miY2C9UGDFCg&skuId=5903513724490&priceTId=214781f817555875122823867e0f19&utparam=%7B%22aplus_abtest%22%3A%221a84d62e37334265523446625ebbef31%22%7D&spm=a21n57.1.item.17,销量为估算值; 合并了2个相似商品; ,2015,985.17,3000,942.67,4023,985.17,
5,4,下降1,9.09782E+11,志高智能门锁密码指纹家用防盗门电子入户门带监控全自动大门可视,志高,229,4000,223,4000,892000,志高洪高专卖店,https://detail.tmall.com/item.htm?id=909781634908&ns=1&abbucket=6&xxc=taobaoSearch&mi_id=0000TERx2QyOWOMg3Nve0bV4dah2SFQNVJ_hM8Vy90vCaKU&skuId=5895790964795&priceTId=214781f817555875122823867e0f19&utparam=%7B%22aplus_abtest%22%3A%2236877e6341f889a04cba4be5f69a4df0%22%7D&spm=a21n57.1.item.5,,同上,223,同上,同上,同上,同上,
6,6,持平,7.3832E+11,海尔新款智能门锁全自动密码锁猫眼大屏高清可视双向对讲,海尔,407.15,30,419.05,3000,1257150,海尔全屋智慧旗舰店,https://click.simba.taobao.com/cc_im?p=%D6%C7%C4%DC%C3%C5%CB%F8&s=1287085096&k=2049&e=LPrexBo13JHHCVW54XBHouZx1AK014eKz4vwZ7%2BmFI5e94qjVGdtWulgpBuERa9MPpEO9l78ibsPFLcK5WZyxQrBMOu%2BAjtXf0KIcJqkmd7mcfyFpbLvYAFRQjmYy5pUn8wQPYm9ahX1DCxCG8ZVov30IiBryBcGaR%2B86STf6jDBbcoYJo5AtpQgr5Tlbz1387PRJIq8bZzKQmBjv9ag2bp35vnXy4gLkk1KzPOLdPzOvqmEE1ZsWQMPA5WxX5gtNke5hre9qw6gShwht60SkQAsAoGSrytVAyYMRlPblGYWTfwUpUpehCfEgcoO17BgmSTG8LaxJQdGqiLUtCuhdbCybbdxikU%2BxGHPPuoWPOy9KkmA9S4pc89DRmipRs%2BHKHuNLdoUA%2FrymqUQRNAiYfiWG64CojbRXVVu1fSzLLOTVQMo%2FbFlYjj0HaIULUWnreoirUVsDZGzWxsVfjqTVTjeaxESFCvllS3Q11hNGOqlmapwEfwwy7%2BOY3vAqmhnD930gbpYPYk0hVqN8OkHgtZf7H0AmNBZ20bf6lFesBaZQtx4LLqKYJxweug15njP5bW97e1RdqybFLiEMLJBA07kp771%2FFRZEnc5ESAA5%2B9MzWszVbYDEn5FbZSE6FYD0XQLWd1urKvALDaKUjC4tCzTYJghOXBXke7t%2Fqc79z6V6XoQLjkZUGJgVZLs3d0%2BP0jMl9TaSG6OwKM30HkoYYDgBcyIM2E7ANMmJamwZNW5zE2928vdjZb7HqtePrrmt7L878kLtYXE%2FXPBLrmQNGVjLgyJwM%2BVioYDaw9Em5uvLqLidyQpeU6y9Xy7PC%2FXFsnH4d4XD86XvzL%2BHLrXgcNl8V6s4EIZ3EpvJGM2S%2F1gRc5CZvvt58r8Xow4fCAlSTFgc%2FJV2W7%2BbLMxx9rXwzwkgvEj7Sofj44vgADNQUDWd5gdWAs9cWhCBImUlHy%2B93LGYvtZ86fZW8Xb79%2BHnOZyxKuMyOWKdGd8me%2BZP1A%2BAh1c2blTWV%2FT82C0ww20aPtsGVJr9Cweoc8na6M%2FJe9OHIJnQq7%2Favv44DiQ99s%2BqMi6q7GUGFqC4XeMesZ9M%2BAqkZaw9umrExOv0n2YFiWXNGHcm4kzSK17wRU2TvOfmEoJxv7gXw5Q2hoNFkIud0bZqiW2VBPLAaY0fw%2BjCH2wqkGMmufoW9v%2FIKvIvFTxIWdAqTkrHh5tQdgDwYn0ZjMUrP0AiHhcYVikHrPHtvHvMKH63toHJv82YKGzrHvPLOhjHVcecc9mtBpmhdveJYBXaW0VXzix9WJqBQlqP33E5UBq0ODEkL8QhnLcLooifqZKLM2PY5mB4bHjXsTGON0P5s5Ih4oSJF3TPbr3gLvQvWjdJK%2BZKGq7nU%2FsZVR0nEpg7cI%2ByBmhxseOp3vlVQeXDWfXn4uExHZOAFA1Q9eiMGdepfgcR3doq85FAyXVO6oVzeWW7L%2F4BdqyhkCiIE3ZxYGQxoubXT9YL7uXC9U7qhXN5ZbsGscLQNg3CyYBUUI5mMuaVJ%2FMED2JvWoV9QwsQhvGVaLMEC6N7yswxCMnEGilXB%2BA%2F0ZBJ812EuEm8GTihgRZTHTf%2FVZRq8x7PP45BTvHfZ6sBQLAhWFf4Au6QPxbHFzN%2FH%2Bd509yRtlSOUpTwMxf4z%2BQGOQRMASQmfmfhhNFBmmXHx8zoSA%2FDwPzJ0RvD%2FCMH%2BOeVbye%2BLGSIpAkDXoi6kA9doSKKi1%2BOMq3ouDJkxn%2BPv25grKTGfWiINvmQLMbQx3g5LP6Uxw2r3FuPlCmQCa2IvgTUUAlXK5p6udFfRYjcmPYQF1gzhYe8xZR0YjsAbYV027LnKOfzG7L5wA2LHukoPeq4oKnIaYIZC0tqa5lYy4MicDPlYqGA2sPRJubry6i4nckKXlOsvV8uzwv1xbJx%2BHeFw%2FOl78y%2Fhy614GrZ8jNchfRTIuFGdKSeH423EpvJGM2S%2F1gRc5CZvvt50DsmlJ2GbPuQfQADgPpGOPLtUSoRy51AlCXsiSRTm9zI2Dp2M7VfmbKdfm7kkfu2WoXg7%2BOTEAW&eadt=282&mm_sceneid=1_0_2558470184_0&a=xxc%3Dad_ztc%26umpChannel%3Dbybtqdyh%26u_channel%3Dbybtqdyh%26fpChannel%3D101%26fpChannelSig%3D01774465d40cd78d6309ad3963c1591b31fe3dfe%26mi_id%3D00004-FqD9vZHSbeYgz2AKt0mkprasrBqYYUNYH7thJ6JE8%26skuId%3D5722545008289%26priceTId%3D2147836a17555884410248280e1355%26utparam%3D%2525257B%25252522aplus_abtest%25252522%2525253A%252525224d3c390f1f896b71ea08d85ae4d92186%25252522%2525257D%26&id=738320272955&spm=a21n57.1.item.4,合并了2个相似商品; ,3000,419.05,同上,同上,同上,同上,
7,N/A,新品,8.42141E+11,萤石AI人脸大屏可视指纹锁掌静脉智能家用防盗电子密码锁DL20FVS,萤石,1354.05,2142,1354.05,2142,2900375.1,萤石官方旗舰店,https://click.simba.taobao.com/cc_im?p=%D6%C7%C4%DC%C3%C5%D6%B8%CE%C6%CB%F8&s=1848875982&k=2361&e=GO3boh4DsaWiTv8xn1eLyaiswUiic%2F2P2WKpIceuzpP2%2B7BgoQb38PLj6lQ539%2BpSd3dJXOSNXixbM7tSrHs0GfAq6hR2q8DxRORgGV8U%2F2Yan6WPbYBicBEyZR%2F%2B8%2BEpWrsx49Sb%2Bmv6vw9%2B%2FYrSTijZoLlwORAFb3TiPzYP%2FuOkESufDzqBSJsidTqj8Cqd4blgPmTzXpcvqEcIgAQMOLunyJx7%2BZZl%2B6Z56me7XWngxBZzQmL7Yp2o6JUEuF%2FXtCObDVhz8F2zjGbPpOuyAFzNJITmuUNd6luNyzDyXuG7ZaEPfRJbwYSD3LqDkfue0%2BFLTzYYFobrNMXVvN5OnJLcnkGVRXl4vRb5Nyl2SwnGzwHPzyW98FOfNZBh1XUz2CqaQLSEArz3BoGmgYaSjrFLCRUElIBg%2FqlOuUkOJ%2BKtUmuQBsmercqjvfdoH%2FJJ2EjVrDNtzIwSmakMuGmKI7jvT5juD7%2BoK4F547g5wLJNCNaGbMs%2B5zxPg4es5X7qWoiVPefDmJqkBBuLlY3SdG8FAuYcJYfQmjXKfdyxW8ZDAFuFIuZYKQQLVZOkTvEladhuzaO0XICcgJDafocX5M1Yi%2FmtWNS7VYQGinQ0e%2FVCdf22guS7l631ybxBOyO5mPOrdwFqXbOpwlvqkrZvozkR97NdIUHlgcSTLv%2Ba%2Bdjo6KgVKp7aaLwsHWLSrf%2BK8VXOPgq0BgDraCMehKhcpvv9NhfsWIBFCPtbKQf9Kr9kdiEIqqVouEJ9Peisf1pq8D22raYU6Ulnny3EFlE%2F1Ept8pOhM7a5ttBXa10o2PTiF1Z%2FGrPMYOOShff1QGeJPFjPR0QZt3H4YWu7NTVD6Th9yZY5nPmL5TS6zEVC5qGuqRSqA8vK3qnL1mZFSdKXzwUoU9HO2NecSrSV7Ax6xPbvefwTj70usOFJ0JcAjloAO%2B4l93PzXI6F8pBGcfDKCC1QC8RDeBjiRQHcrFUzEuy0867SAYeijvZ%2FQUNmXWjJckdK4%2FZLMY8nmOG5Nh6Ktr%2BXDPnTKRC1Aifn10pDpmpOPK26uWzncqRDJhF01lJiIAXcCCi%2Bp23MnZV3HrALdNi9cKWZFgh1rlZeyxFNlnhEFBCPIIDmeSwTMkj4ER9iP4YG3AXQ%2BCcg%2BEMGz5TNW%2BxdvjALnl95nqOxOpMiycpQDaPHXp6INJ5gnRcc6pyBig%2BxFX4nq%2BGxmpoIQjI1RH2guPI3v815KptVrwaljX3%2BIRL7rVgU%2B%2B7iFxNHGi%2FcrcSKgSPv%2BMM9Rugbr%2FB6ZhXAo0STWiitoOBcfwZXGJSbxMR9hBF%2Bk6J42IW1xxyOEgPegP0Y4J4oV6hRTjkEHloEGnL0M%2FuwidQETuENvECJHwpl0t0DAywxuKr6fjT4yovXwPZqekXW9erh1dU9iGI%2Fs2knAEslxJV4SsCJHy3Urw3CsxDpp7VRR70UTvkg97eX4gbZTAROYtloeEeBpSFZKUkdNZmSG5%2FXYynBhYBP8WxEKRfSLwpknWLGNiH99UmIzAieiSJyK5ikvefA7qOElz%2BxtNKr6Gvstdu5ts3MNXqXKLbpg7%2FmDUgGM1qWBcqJaKfxwIgmJhkJsvTpzcSLDx89D%2BgRrXE2elttmSyIjRiB184UtrmHpgj7osfyXlSqS2gCQEYc%2BmzaGvQCHtvles0e36Kx%2BuwQionMzJC%2FtVI6bGUARhz6bNoa9CoRbNdiVvrSanHos5rE3wqLizVTZMQ18U1kbpS26dfoWbdVMqLoRo91M%2Fk6pSKcwF4H7Ydd96ej0H8AfQkq1011DMH53Otmd1KuE6LSm45NUeGySnfcbuZuQUaLiuO0SK6S5R4qGg%2Fa%2FsKGO0DZmFKDIU8%2BKnuDGqVpmO8WdysnTnr9CrSh%2FXciqSE7dG4tvCNqHhINQgaQj7NRru%2BM1VYUvE%2FQGrBK%2FrCa6VmEXu8uF4P02CRCwez4XaP0i4bz%2F4v6cZKqkppJwUardRuCmCps33Yk5qe6drYO%2BBIVrzvSr5dyYNGlxcYsZQxi8vitsAmUEnIAnU7%2FD4wP5Wu15zoE1K3VpLm22AdDvZq5YorUyqo%2BQGU4MGDyhKEDYygq5RkYc8aut3QXtOIXVn8as8xg45KF9%2FVAZ4k8WM9HRBm3cfhha7s1NUPpOH3Jljmc%2BYvlNLrMRULmoa6pFKoDy8reqcvWZkVJ0pfPBShT0c7Y15xKtJXsDHrE9u95%2FBOPvS6w4UnQlwCOVdziLRjfg%2FNJRaAxK%2Bech3yUsPoL8P1iyggtUAvEQ3gWNsms6mCyutvuEhuV37om%2BSp0GOCZ3p7w4EWO7Q%2BsVFUToxwVCvtPUi8KZJ1ixjYh%2FfVJiMwIno1SmWsFgTYig%3D%3D&eadt=282&mm_sceneid=1_0_53046447_0&a=xxc%3Dad_ztc%26umpChannel%3Dbybtqdyh%26u_channel%3Dbybtqdyh%26fpChannel%3D101%26fpChannelSig%3D3dee34f96ed950638613b39cb9ad04c5bdc10113%26mi_id%3D0000gLFQnR5wl1PLJMaIl9RMx310vrCDbyWxNS4KLUbc0XQ%26skuId%3D5779597586929%26priceTId%3D213e048517558475049338803e127c%26utparam%3D%2525257B%25252522aplus_abtest%25252522%2525253A%25252522246f7f2d8734e7e181a16aee052f61a8%25252522%2525257D%26&id=842140712682&spm=a21n57.1.item.8,新品; 销量为估算值; 合并了4个相似商品; ,,,,,2142,1354.05,1
8,10,上涨2,7.67721E+11,KONKA康佳指纹锁家用防盗门木门电子智能门锁人脸可视猫眼密码锁,康佳,199,2128,199,2130,423870,KONKA康佳智能锁旗舰店,https://detail.tmall.com/item.htm?id=767721360392&ns=1&abbucket=6&xxc=taobaoSearch&mi_id=0000IpvnqdMEjr6qe_BGku1TyyoYJWl3BpT1bOIgxqTirwY&skuId=5277866324217&priceTId=214781f817555875122823867e0f19&utparam=%7B%22aplus_abtest%22%3A%225b7015d714ac434c35404a10dd91f00e%22%7D&spm=a21n57.1.item.14,合并了3个相似商品; ,2129,同上,2100,同上,2130,同上,
9,76,上涨67,8.33534E+11,小米门锁M30Pro指纹掌静脉人脸门锁小米智能锁电子锁密码锁家用,小米,2804.15,200,2741.03,2019,5534139.57,小米官方旗舰店,https://detail.tmall.com/item.htm?id=833533703084&ns=1&abbucket=6&xxc=taobaoSearch&umpChannel=bybtqdyh&u_channel=bybtqdyh&fpChannel=101&fpChannelSig=532dad2041db6c757dda16e6ebae2b0a37074cb7&mi_id=0000sM8tU6Dz5wi5sOFv-bc47sSLgNNbyrAIdAyL2P3UbF8&skuId=5898501329602&priceTId=214781f817555876005898196e0f19&utparam=%7B%22aplus_abtest%22%3A%22d8eba60bf51e0dd81ae6e4afe6ff99ac%22%7D&spm=a21n57.1.item.18,销量为估算值; 合并了2个相似商品; ,同上,2741.03,同上,2316.03,2019,2741.03,
10,7,下降3,9.17063E+11,海尔智家Leader统帅智能门锁家用入户门指纹密码锁公寓电子锁E200,海尔,313.65,2000,308.55,2000,617100,海尔全屋智慧旗舰店,https://detail.tmall.com/item.htm?id=917062836907&ns=1&abbucket=6&xxc=taobaoSearch&umpChannel=bybtqdyh&u_channel=bybtqdyh&fpChannel=101&fpChannelSig=0335cb5f89b378bf6eae13b68bbd3e413931749a&mi_id=00002NklYaPqZX9tWudZ52Vc7Q9a5esIn78izQU0utxInq4&skuId=6065446155399&priceTId=214781f817555875122823867e0f19&utparam=%7B%22aplus_abtest%22%3A%22c239e1678d6d235c385d573d52af9894%22%7D&spm=a21n57.1.item.9,,2400,308.55,同上,同上,2000,同上,
