页码,商品ID,商品标题,国补后价格,店铺名称,商品链接,付款人数,品牌,付款金额,2025-08-15_Price,2025-08-15_Main_Image_URL,热水器海尔型号,尺寸,售后服务,防冻功能,毛重,智能控制,保修年限,排烟方式,热水器安装要求,包装尺寸,能效等级,净重,是否防冻,恒温类型,产地,热水器燃气类型,材质,是否恒温,堆码层数极限,必备安装配件,系列,控制方式,功率,颜色分类,3C证书编号,保修期,热水器美的型号,热水器万和型号,上市时间,能效备案号,热水器升位,热水器万家乐型号,生产企业,物流配送安装服务,安装服务,出水方式,型号,燃料种类,款式,功能,热水器能率型号,安装方式,智能类型,省份,地市,电线截面要求,加热功率,工作电压,采购地,热水产率（L/min）,产品类型,热效率（%）,适用人数,配套附带
8,6.86471E+11,美菱即热式电热水器家用恒温变频快速过水热卫生间速热式小型洗澡,268,美菱即热式热水器旗舰店,https://detail.tmall.com/item.htm?id=686470608306&ns=1&detail_redpacket_pop=true&query=%E7%87%83%E6%B0%94%20%E7%83%AD%E6%B0%B4%E5%99%A8&xxc=ad_ztc&umpChannel=bybtqdyh&u_channel=bybtqdyh&fpChannel=101&fpChannelSig=4cef565d8e1807bf6ba1d952439b01664c1a4b74&mi_id=00003NF0PSowRVQkIH7bqK9QQm2HIoObqXd2r_JXBtXPSVk&skuId=4912329853657&priceTId=2147807817550607399182639e156c&utparam=%7B%22aplus_abtest%22%3A%22de0c8420ed50fd2cd9e8e62e805df08b%22%7D&spm=a21n57.1.item.4,18,MeiLing/美菱,4824,268,https://gw.alicdn.com/bao/uploaded/i2/2206417020208/O1CN01xLtuuq1DPJPtG6Obj_!!2206417020208.jpg_.webp,,319x61x197mm,全国联保,,2.3kg,,,,,390x115x310mm,无,2.4kg,,,中国大陆,,钢化玻璃面板,,5层,,,微电脑式,,6050W 黑色 【标准款】阻燃线盒 6050W 黑色 【标准款】恒温漏保 6050W 黑色 【大屏抑菌遥控】阻燃线盒 6050W 黑色 【大屏抑菌遥控】恒温漏保 6050W 黑金 【六键童浴抑菌升级】阻燃线盒 6050W 黑金 【六键童浴抑菌升级】恒温漏保 6050W 黑金 【六键童浴抑菌铸铝】恒温漏保 6000W 金色 【六键大屏抑菌遥控】阻燃线盒 6000W 金色 【六键大屏抑菌遥控】恒温漏保 6000W 金色 【六键大屏抑菌铸铝】恒温漏保 7000W 黑色 【标准款】恒温漏保 7000W 黑金 【六键童浴抑菌升级】恒温漏保 7000W 黑金 【六键童浴抑菌铸铝】恒温漏保 7500W 黑金 【六键童浴抑菌铸铝】恒温漏保 7000W 金色【六键大屏抑菌遥控】恒温漏保 7000W 金色 【六键大屏抑菌铸铝】恒温漏保 8500W 黑色 【大屏抑菌遥控】恒温漏保 6500W 深空灰 【节能抑菌遥控】恒温漏保 7500W 深空灰 节能抑菌遥控】恒温漏保 7500W 时空银【净水抑菌遥控铸铝】恒温漏保 6500W 时空银 【净水抑菌遥控铸铝】恒温漏保 8500W 时空银 【净水抑菌遥控铸铝】恒温漏保 7500W 雅致银 【AI智能抑菌遥控铸铝】恒温漏保 8500W 雅致银 【AI智能抑菌遥控铸铝】恒温漏保,2.02201E+15,12个月,,,2019-10,,,,合肥美菱集团控股有限公司,,不含安装 含安装,,MJR-DC6042,,,,,,不支持智能,安徽省,合肥市,2.5-4平方毫米国标专线,6000W,220V,中国大陆,,,,,
2,9.24711E+11,新飞燃气热水器天然气液化气家用智能恒温强排式平衡式洗澡热水器,290,新飞帅佳专卖店,https://detail.tmall.com/item.htm?id=924710569638&ns=1&abbucket=19&xxc=taobaoSearch&mi_id=0000k0uZfwesUErXmmseFAhBLzdm1gtwJUE9gUTnLj6QDlM&skuId=5847788305792&priceTId=2147845617550606133113665e122d&utparam=%7B%22aplus_abtest%22%3A%220aaab3e326fe827f94d5002312363df3%22%7D&spm=a21n57.1.item.48,100,Frestec/新飞,29000,290,https://gw.alicdn.com/bao/uploaded/i4/2219834153433/O1CN01TfdpRE1bEMl9OpGsP_!!2219834153433.jpg_.webp,,350x150x590mm,全国联保,非防冻,12kg,不支持智能,,,未安装排烟管禁止使用,705x480x195mm,二级,11kg,是,水量伺服,中国大陆,液化气 天然气,,是,10层,直弯烟管组合,,微电脑式,38W,【高端12升】智能恒温+多重安全防护 上门安装+【高端12升】智能恒温+多重安全防护 【高端14升】智能恒温+多重安全防护 上门安装+【高端14升】智能恒温+多重安全防护 【高端16升】智能恒温+多重安全防护 上门安装+【高端16升】智能恒温+多重安全防护 【家用12升】变频恒温+无极分段变升 上门安装+【家用12升】变频恒温+无极分段变升 【家用14升】变频恒温+无极分段变升 上门安装+【家用14升】变频恒温+无极分段变升 【家用16升】变频恒温+无极分段变升 上门安装+【家用16升】变频恒温+无极分段变升 【平衡式10升】浴室可装+恒温稳燃仓 上门安装+【平衡式10升】浴室可装+恒温稳燃仓 【平衡式12升】浴室可装+恒温稳燃仓 上门安装+【平衡式12升】浴室可装+恒温稳燃仓 【热销12升】水伺服精控温感+双驱稳燃 上门安装+【热销12升】水伺服精控温感+双驱稳燃 【热销14升】水伺服精控温感+双驱稳燃 上门安装+【热销14升】水伺服精控温感+双驱稳燃 【热销16升】水伺服精控温感+双驱稳燃 上门安装+【热销16升】水伺服精控温感+双驱稳燃 普通10升+强排+铝水箱无配件,2.02201E+15,12个月,,,2024-6,,16L,,中山市新新电器有限公司,,不含安装,下出水,JSQ30-LTA,天然气，液化气,强排式智能恒温,抑菌,,,,,,,,,,,,,,
6,9.00587E+11,新飞正品燃气热水器家用变频恒温天然气液化气平衡式增压热水器,290.01,官方国货甄选,https://detail.tmall.com/item.htm?id=900586514111&ns=1&abbucket=19&xxc=taobaoSearch&mi_id=0000FV1il34yHCQHYeZUaJxFuKPPyvFQWQZU9OJvPpk8qS8&skuId=5847800237072&priceTId=2147817d17550606995197137e125b&utparam=%7B%22aplus_abtest%22%3A%2295cea613ca62a8d31990684907eb72eb%22%7D&spm=a21n57.1.item.14,29,Frestec/新飞,8410.29,293.63,https://gw.alicdn.com/bao/uploaded/i4/2218074878327/O1CN01Uyx5ak2BNp6hl0Tn1_!!2218074878327-0-scmitem176000.jpg_.webp,,350x150x590mm,全国联保,非防冻,12kg,不支持智能,,强排式,未安装排烟管禁止使用,705x470x200mm,二级,7kg,否,零冷水,中国大陆,新飞正品+全国联保【瓶装液化气】 新飞正品+全国联保【管道天然气】,,是,3层,直弯烟管组合,,微电脑式,38W,【普通10升】强排+铝水箱无配件 【高端12升】智能恒温+多重安全防护 【高端12升】智能恒温+多重安全防护+上门安装 【高端14升】智能恒温+多重安全防护 【高端14升】智能恒温+多重安全防护+上门安装 【高端16升】智能恒温+多重安全防护 【高端16升】智能恒温+多重安全防护+上门安装 【家用12升】变频恒温+无极分段变升 【家用12升】变频恒温+无极分段变升+上门安装 【家用14升】变频恒温+无极分段变升 【家用14升】变频恒温+无极分段变升+上门安装 【家用16升】变频恒温+无极分段变升 【家用16升】变频恒温+无极分段变升+上门安装 【平衡式10升】浴室可装+恒温稳燃仓 【平衡式10升】浴室可装+恒温稳燃仓+上门安装 【平衡式12升】浴室可装+恒温稳燃仓 【平衡式12升】浴室可装+恒温稳燃仓+上门安装 【热销12升】水伺服精控温感+双驱稳燃 【热销12升】水伺服精控温感+双驱稳燃+上门安装 【热销14升】水伺服精控温感+双驱稳燃 【热销14升】水伺服精控温感+双驱稳燃+上门安装 【热销16升】水伺服精控温感+双驱稳燃 【热销16升】水伺服精控温感+双驱稳燃+上门安装,2.02201E+15,12个月,,,2025-03,,16L,,中山市新新电器有限公司,送货上门无需安装,不含安装,,JSQ30-LTA,燃气,,,,,,,,,,,,,,,,
1,8.18858E+11,樱花雪白燃气热水器电家用天然气恒温强排式12升液化气平衡式煤气,301.26,樱花雪泉冠专卖店,https://detail.tmall.com/item.htm?id=818857538039&ns=1&abbucket=19&xxc=taobaoSearch&mi_id=00008W18-mhsz9Ej7xnV4Fh5WigSiYfsvIi119fJevLIj0o&skuId=5691914883947&priceTId=2147802b17550605903683410e1363&utparam=%7B%22aplus_abtest%22%3A%22f97146816526bf7856260157f72c9632%22%7D&spm=a21n57.1.item.40,300,樱花雪,90378,318,https://gw.alicdn.com/bao/uploaded/i3/2218355517719/O1CN010kT42126tMCuuoZQm_!!2218355517719.jpg_.webp,,550x350x150mm,上门安装全国联保,,11kg,其他智能,12个月,强排式,,680x480x180mm,二级,10kg,是,水量伺服,中国大陆,液化石油气 天然气,无氧铜,是,10层,直弯烟管组合,无,微电脑式,38W,普通款10升+智能恒温+自行安装 普通款10升+智能恒温+上门安装 高配款12升+智能恒温+自行安装 高配款12升+智能恒温+上门安装 高配款13升+智能恒温+自行安装 高配款13升+智能恒温+上门安装 高配款16升+智能恒温+自行安装 高配款16升+智能恒温+上门安装 顶配款12升+变频节能+加厚水箱+自行安装 顶配款12升+变频节能+加厚水箱+上门安装 顶配款13升+变频节能+加厚水箱+自行安装 顶配款13升+变频节能+加厚水箱+上门安装 防冻款12升+抑菌防冻+变升节能+自行安装 防冻款12升+抑菌防冻+变升节能+上门安装 防冻款13升+抑菌防冻+变升节能+自行安装 防冻款13升+抑菌防冻+变升节能+上门安装 防冻款16升+抑菌防冻+变升节能+自行安装 防冻款16升+抑菌防冻+变升节能+上门安装 平衡式10升+可装浴室+变升节能+自行安装 平衡式10升+可装浴室+变升节能+上门安装 平衡式12升+可装浴室+变升节能+自行安装 平衡式12升+可装浴室+变升节能+上门安装 平衡式16升+可装浴室+变升节能+自行安装 平衡式16升+可装浴室+变升节能+上门安装 增压款12升+内置增压泵+低水压启动+自行安装 增压款12升+内置增压泵+低水压启动+上门安装 增压款16升+内置增压泵+低水压启动+自行安装 增压款16升+内置增压泵+低水压启动+上门安装 零冷水13升+循环水增压+全屋零冷水+自行安装 零冷水13升+循环水增压+全屋零冷水+上门安装 零冷水16升+循环水增压+全屋零冷水+自行安装 零冷水16升+循环水增压+全屋零冷水+上门安装,2.02317E+15,,,,,,,,,,,,JSQ30-A13,,,,,,,,,,,,,,,,,
1,8.44276E+11,多才好太太燃气热水器电家用天然气恒温强排式液化煤气平衡式洗澡,302.16,优镁大家电专营店,https://detail.tmall.com/item.htm?id=844275548932&ns=1&abbucket=19&xxc=taobaoSearch&mi_id=0000LmhIUUiAogyvbPLwOIy1Egfu8xon1euw0nCPE_mLJs8&skuId=5788213950584&priceTId=2147802b17550605903683410e1363&utparam=%7B%22aplus_abtest%22%3A%2226846bf7bcd1a937c925ea3d2ab7a233%22%7D&spm=a21n57.1.item.45,200,多才好太太,60432,318,https://gw.alicdn.com/bao/uploaded/i2/2218556655292/O1CN014XMPrA1oxmympIGXy_!!2218556655292.jpg_.webp,,550x350x150mm,上门安装全国联保,,10kg,其他智能,12个月,强排式,,710x480x220mm,二级,9kg,否,机械恒温,中国大陆,液化石油气 天然气,,否,10层,,,机械式,38W,高配款10升+自行安装 高配款10升+上门安装 高配款12升+自行安装 高配款12升+上门安装 高配款13升+自行安装 高配款13升+上门安装 高配款16升+自行安装 高配款16升+上门安装 旗舰款12升+抑菌节能+自行安装 旗舰款12升+抑菌节能+上门安装 旗舰款13升+抑菌节能+自行安装 旗舰款13升+抑菌节能+上门安装 旗舰款16升+抑菌节能+自行安装 旗舰款16升+抑菌节能+上门安装 防冻款12升+抑菌防冻+自行安装 防冻款12升+抑菌防冻+上门安装 防冻款16升+抑菌防冻+自行安装 防冻款16升+抑菌防冻+上门安装 平衡式10升+抑菌节能+自行安装 平衡式10升+抑菌节能+上门安装 平衡式12升+抑菌节能+自行安装 平衡式12升+抑菌节能+上门安装 平衡式16升+抑菌节能+自行安装 平衡式16升+抑菌节能+上门安装 增压款12升+内置增压泵+低水压启动+自行安装 增压款12升+内置增压泵+低水压启动+上门安装 增压款16升+内置增压泵+低水压启动+自行安装 增压款16升+内置增压泵+低水压启动+上门安装 零冷水13升+循环水双增压+全屋零冷水+自行安装 零冷水13升+循环水双增压+全屋零冷水+上门安装 零冷水16升+循环水双增压+全屋零冷水+自行安装 零冷水16升+循环水双增压+全屋零冷水+上门安装,2.02317E+15,,,,2024-10,,12L,,,,,,D02,,,,,,,,,,,,,,,,,
3,9.16495E+11,先科燃气热水器家用天然气电恒温强排式液化煤气12升平衡式零冷水,308.62,先科厨诚专卖店,https://detail.tmall.com/item.htm?id=916494632179&ns=1&abbucket=19&xxc=taobaoSearch&mi_id=0000jZ6oSaSFCI8T7tfDXjAY3EufuOnhH_ViSLivcigH7Eo&skuId=5949227634523&priceTId=2147838917550606348336267e1418&utparam=%7B%22aplus_abtest%22%3A%22bb87fa0ac5c6b36bbc5a3ecaec44a9d1%22%7D&spm=a21n57.1.item.6,100,先科,30862,319,https://gw.alicdn.com/bao/uploaded/i3/2219676166470/O1CN01Slzl8B1xfJcTeyCvq_!!2219676166470.jpg_.webp,,550x350x140mm,,机械防冻,9kg,其他智能,12个月,强排式,未安装排烟管禁止使用,720x480x220mm,二级,10kg,是,机械恒温,中国大陆,液化气 天然气,,是,11层,,,机械式,38W,高配款10升+自行安装 高配款10升+上门安装 高配款12升+自行安装 高配款12升+上门安装 高配款13升+自行安装 高配款13升+上门安装 高配款16升+自行安装 高配款16升+上门安装 旗舰款12升+断电记忆+自行安装 旗舰款12升+断电记忆+上门安装 旗舰款13升+断电记忆+自行安装 旗舰款13升+断电记忆+上门安装 旗舰款16升+断电记忆+自行安装 旗舰款16升+断电记忆+上门安装 顶配款12升+抑菌防冻+自行安装 顶配款12升+抑菌防冻+上门安装 顶配款16升+抑菌防冻+自行安装 顶配款16升+抑菌防冻+上门安装 平衡式10升+可装浴室+自行安装 平衡式10升+可装浴室+上门安装 平衡式12升+可装浴室+自行安装 平衡式12升+可装浴室+上门安装 平衡式16升+可装浴室+自行安装 平衡式16升+可装浴室+上门安装 增压款12升+内置增压泵+自行安装 增压款12升+内置增压泵+上门安装 增压款16升+内置增压泵+自行安装 增压款16升+内置增压泵+上门安装 零冷水13升+循环水增压+自行安装 零冷水13升+循环水增压+上门安装 零冷水16升+循环水增压+自行安装 零冷水16升+循环水增压+上门安装,2.02401E+15,,,,,,,,,送货上门安装,,下出水,JSQ23,天然气,,节能,,,,,,,,,,,,,,
2,8.49434E+11,新飞燃气热水器天然气12升家用电恒温强排式液化气洗澡平衡式增压,321.86,新飞科泰诺专卖店,https://detail.tmall.com/item.htm?id=849433884021&ns=1&abbucket=19&xxc=taobaoSearch&mi_id=0000tJu-ix31RnYzD0Fsmu5MMuNn_1iEFd_OVjNaOPLUZ9I&skuId=5806795131246&priceTId=2147845617550606133113665e122d&utparam=%7B%22aplus_abtest%22%3A%229d158f648234e00da947fefb04304521%22%7D&spm=a21n57.1.item.5,222,Frestec/新飞,71452.92,338,https://gw.alicdn.com/bao/uploaded/i1/2218807973880/O1CN01fU7pYO1eX5jyxzTid_!!2218807973880.jpg_.webp,,550x350x150mm,,,10kg,其他智能,,强排式,未安装排烟管禁止使用,,,9kg,,,中国大陆,液化石油气 天然气,,是,10层,直弯烟管组合,,微电脑式,38W,高配款10升+智能恒温+自行安装 高配款10升+智能恒温+上门安装 高配款12升+智能恒温+自行安装 高配款12升+智能恒温+上门安装 高配款13升+智能恒温+自行安装 高配款13升+智能恒温+上门安装 高配款16升+智能恒温+自行安装 高配款16升+智能恒温+上门安装 旗舰款12升+变频节能+加厚水箱+自行安装 旗舰款12升+变频节能+加厚水箱+上门安装 旗舰款13升+变频节能+加厚水箱+自行安装 旗舰款13升+变频节能+加厚水箱+上门安装 旗舰款16升+变频节能+加厚水箱+自行安装 旗舰款16升+变频节能+加厚水箱+上门安装 防冻款12升+一级节能+抑菌防冻+自行安装 防冻款12升+一级节能+抑菌防冻+上门安装 防冻款16升+一级节能+抑菌防冻+自行安装 防冻款16升+一级节能+抑菌防冻+上门安装 平衡式10升+抑菌防冻+可装浴室+自行安装 平衡式10升+抑菌防冻+可装浴室+上门安装 平衡式12升+抑菌防冻+可装浴室+自行安装 平衡式12升+抑菌防冻+可装浴室+上门安装 平衡式16升+抑菌防冻+可装浴室+自行安装 平衡式16升+抑菌防冻+可装浴室+上门安装 增压款12升+内置增压泵+低水压启动+自行安装 增压款12升+内置增压泵+低水压启动+上门安装 增压款16升+内置增压泵+低水压启动+自行安装 增压款16升+内置增压泵+低水压启动+上门安装 零冷水13升+循环水增压+全屋零冷水+自行安装 零冷水13升+循环水增压+全屋零冷水+上门安装 零冷水16升+循环水增压+全屋零冷水+自行安装 零冷水16升+循环水增压+全屋零冷水+上门安装,2.02401E+15,,,,,,,,,送货上门安装,,下出水,B02,,,节能,,,,,,,,,,,,,,
13,8.2055E+11,万家乐JSQ30-16L5水伺服恒温空壳展示机非真机燃气热水器,350,macro万家乐佛山专卖店,https://detail.tmall.com/item.htm?id=820550092552&ns=1&abbucket=19&xxc=taobaoSearch&mi_id=0000STDr4Ca0nE0ygkZfVVcB28iW623rZOrCIRmApmfo8w0&skuId=5696508519678&priceTId=214783fb17550608401982856e1c72&utparam=%7B%22aplus_abtest%22%3A%22fc809d4b6f0ed8068e7595aef2e67068%22%7D&spm=a21n57.1.item.22,5,Macro/万家乐,1750,350,https://img.alicdn.com/imgextra/i4/2218314271552/O1CN01BJKuuC1NKrfeegcx9_!!0-item_pic.jpg_.webp,,558x340x160mm,,,15kg,不支持智能,0个月,强排式,,718x490x251mm,二级,11.5kg,是,水量伺服,中国大陆,天然气,,是,8层,直弯烟管组合,,微处理器+燃气调节,40W,JSQ30-16L5(F) 16L玉石白,2.02001E+15,,,,2023-01,,16L,JSQ30-16L5(F),,,,,,,,,,,,,,,,,,,,,,
3,8.66057E+11,半球家用燃气热水器强排式平衡式即热式浴室节能防冻天然气液化气,350.02,官方国货甄选,https://detail.tmall.com/item.htm?id=866056813995&ns=1&abbucket=19&xxc=taobaoSearch&mi_id=00000S6jz2FqrCMX9iV3Qdgv6u-qg82YLETidmhaQV_6Fz0&skuId=5697187665012&priceTId=2147838917550606348336267e1418&utparam=%7B%22aplus_abtest%22%3A%22224978b9bc9346ad0ae9166eb69db009%22%7D&spm=a21n57.1.item.49,67,PESKOE/半球,23451.34,354.75,https://gw.alicdn.com/bao/uploaded/i4/2218510808544/O1CN01Eqwo0k2CzD0a0JJJK_!!2218510808544-0-scmitem176000.jpg_.webp,,550x350x150mm,全国联保,,10kg,其他智能,,强排式,,710x480x220mm,二级,9kg,否,水气双调,中国大陆,天然气 液化石油气,,否,10层,,,微电脑式,2300W,8升丨旋钮款强排式丨仅限广东广西丨不包安装 【强排标准款】10升丨无氧铜水箱丨记忆断电丨智能恒温丨自行安装 【强排标准款】10升丨无氧铜水箱丨记忆断电丨智能恒温丨上门安装 【强排标准款】12升丨无氧铜水箱丨记忆断电丨智能恒温丨自行安装 【强排标准款】12升丨无氧铜水箱丨记忆断电丨智能恒温丨上门安装 【强排标准款】13升丨无氧铜水箱丨记忆断电丨智能恒温丨自行安装 【强排标准款】13升丨无氧铜水箱丨记忆断电丨智能恒温丨上门安装 【强排标准款】16升丨无氧铜水箱丨记忆断电丨智能恒温丨自行安装 【强排标准款】16升丨无氧铜水箱丨记忆断电丨智能恒温丨上门安装 【豪配款】12升丨智能变频丨变升水量丨低压启动丨无氧铜水箱丨自行安装 【豪配款】12升丨智能变频丨变升水量丨低压启动丨无氧铜水箱丨上门安装 【豪配款】13升丨智能变频丨变升水量丨低压启动丨无氧铜水箱丨自行安装 【豪配款】13升丨智能变频丨变升水量丨低压启动丨无氧铜水箱丨上门安装 【豪配款】16升丨智能变频丨变升水量丨低压启动丨无氧铜水箱丨自行安装 【豪配款】16升丨智能变频丨变升水量丨低压启动丨无氧铜水箱丨上门安装 【浴室专用款】13升丨平衡式丨智能恒温丨变升水量丨水汽双调丨自行安装 【浴室专用款】13升丨平衡式丨智能恒温丨变升水量丨水汽双调丨上门安装 【浴室专用款】16升丨平衡式丨智能恒温丨变升水量丨水汽双调丨自行安装 【浴室专用款】16升丨平衡式丨智能恒温丨变升水量丨水汽双调丨上门安装,,12个月,,,2024-10,,12L,,佛山市广有电器有限公司,送货上门无需安装,,,JSQ20-10B510,,,,,,,,,,,,,,,,,
2,7.78078E+11,半球燃气热水器天然气12升16升家用电恒温强排式液化气平衡式煤气,346.84,半球厨诚专卖店,https://detail.tmall.com/item.htm?id=778077528785&ns=1&abbucket=19&xxc=taobaoSearch&mi_id=0000pMxjdKf3JYEj161jgtJ47BTPClvT0Hy8O0nWn-LFEi0&skuId=5534187438856&priceTId=2147845617550606133113665e122d&utparam=%7B%22aplus_abtest%22%3A%22b079431911edf55180cdb1bb9ad01d29%22%7D&spm=a21n57.1.item.9,208,PESKOE/半球,72142.72,358,https://gw.alicdn.com/bao/uploaded/i2/2217352131602/O1CN01HeIIY41NhlTU1MORw_!!2217352131602.jpg_.webp,,590x350x140mm,上门安装全国联保,机械防冻,13kg,其他智能,96个月,强排式,未安装排烟管禁止使用,440x180x710mm,二级,12kg,是,水气双调,中国大陆,液化石油气 天然气,,是,11层,直弯烟管组合,JSQ24,微电脑式,38W,高配款10升+智能恒温+自行安装 高配款10升+智能恒温+上门安装 高配款12升+智能恒温+自行安装 高配款12升+智能恒温+上门安装 高配款13升+智能恒温+自行安装 高配款13升+智能恒温+上门安装 高配款16升+智能恒温+自行安装 高配款16升+智能恒温+上门安装 顶配款12升+变频节能+加厚水箱+自行安装 顶配款12升+变频节能+加厚水箱+上门安装 顶配款13升+变频节能+加厚水箱+自行安装 顶配款13升+变频节能+加厚水箱+上门安装 顶配款16升+变频节能+加厚水箱+自行安装 顶配款16升+变频节能+加厚水箱+上门安装 旗舰款12升+变频节能+抑菌防冻+自行安装 旗舰款12升+变频节能+抑菌防冻+上门安装 旗舰款13升+变频节能+抑菌防冻+自行安装 旗舰款13升+变频节能+抑菌防冻+上门安装 旗舰款16升+变频节能+抑菌防冻+自行安装 旗舰款16升+变频节能+抑菌防冻+上门安装 平衡式10升+变频节能+浴室专用+自行安装 平衡式10升+变频节能+浴室专用+上门安装 平衡式12升+变频节能+浴室专用+自行安装 平衡式12升+变频节能+浴室专用+上门安装 平衡式16升+变频节能+浴室专用+自行安装 平衡式16升+变频节能+浴室专用+上门安装 增压款12升+内置增压泵+低水压启动+自行安装 增压款12升+内置增压泵+低水压启动+上门安装 增压款16升+内置增压泵+低水压启动+自行安装 增压款16升+内置增压泵+低水压启动+上门安装 零冷水13升+循环水增压+全屋零冷水+自行安装 零冷水13升+循环水增压+全屋零冷水+上门安装 零冷水16升+循环水增压+全屋零冷水+自行安装 零冷水16升+循环水增压+全屋零冷水+上门安装,2.02317E+15,,,,2018-01,,12L,,,物流点自提,,,JSQ24-12,,,,,,,,,,,,,,,,,
