日期,主体ID,主体类型,主体名称,展现量,点击量,花费,点击率,平均点击花费,千次展现花费,总预售成交金额,总预售成交笔数,直接预售成交金额,直接预售成交笔数,间接预售成交金额,间接预售成交笔数,直接成交金额,间接成交金额,总成交金额,总成交笔数,直接成交笔数,间接成交笔数,点击转化率,投入产出比,总成交成本,总购物车数,直接购物车数,间接购物车数,加购率,收藏宝贝数,收藏店铺数,店铺收藏成本,总收藏加购数,总收藏加购成本,宝贝收藏加购数,宝贝收藏加购成本,总收藏数,宝贝收藏成本,宝贝收藏率,加购成本,拍下订单笔数,拍下订单金额,直接收藏宝贝数,间接收藏宝贝数,优惠券领取量,购物金充值笔数,购物金充值金额,旺旺咨询量,引导访问量,引导访问人数,引导访问潜客数,引导访问潜客占比,入会率,入会量,引导访问率,深度访问量,平均访问页面数,成交新客数,成交新客占比,会员首购人数,会员成交金额,会员成交笔数,成交人数,人均成交笔数,人均成交金额,自然流量转化金额,自然流量曝光量,平台助推总成交,平台助推直接成交,平台助推点击
2025-09-17,968448838463,商品,云米鲲鹏净热净水器直饮家用净水加热一体MR1051R复合一体芯RO膜,2485,111,49.70,0.04467,0.45,20.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,0,0.00,,0,0,0,0,2,0,,2,24.85,2,24.85,2,24.85,0.01802,,0,0.00,2,0,0,0,0.00,0,163,109,99,0.90826,0,0,0.06559,30,1,0,,0,0.00,0,0,,,0.00,0,0.00,0.00,0
2025-09-17,962045858112,商品,[政府补贴]云米白富镁净水器昆仑4Pro弱碱反渗透RO膜直饮弱碱矿泉,8609,226,946.29,0.02625,4.19,109.92,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,0,0.00,,16,14,2,0.0708,17,1,946.29,34,27.83,33,28.68,18,55.66,0.07522,59.14,0,0.00,16,1,0,0,0.00,10,550,211,171,0.81043,0,0,0.06389,273,3,0,,0,0.00,0,0,,,0.00,0,0.00,0.00,0
2025-09-17,943337811298,商品,云米掌静脉智能门锁猫眼大屏人脸识别家用指纹锁电子锁蓝调2a pro,3498,72,228.51,0.02058,3.17,65.33,0.00,0,0.00,0,0.00,0,0.00,999.00,999.00,1,0,1,0.01389,4.37,228.51,6,3,3,0.08333,0,0,,6,38.09,6,38.09,0,,0,38.09,1,1499.00,0,0,0,0,0.00,1,188,69,62,0.89855,0,0,0.05374,89,3,1,1,0,0.00,0,1,1,999.00,0.00,0,0.00,0.00,0
2025-09-17,935542865349,商品,云米昆仑4Pro弱碱净水器矿物质水1400G家用厨下直饮母婴APP智控,4521,133,537.19,0.02942,4.04,118.82,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,0,0.00,,16,14,2,0.1203,16,0,,32,16.79,32,16.79,16,33.57,0.1203,33.57,0,0.00,16,0,0,0,0.00,5,398,117,80,0.68376,0,0,0.08803,264,3,0,,0,0.00,0,0,,,0.00,0,0.00,0.00,0
2025-09-17,928309516277,商品,云米鲲鹏Pro抽油烟机28m?大吸力厨房顶吸式家用新款以旧换新补贴,15921,149,455.47,0.00936,3.06,28.61,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,0,0.00,,8,5,3,0.05369,0,1,455.47,9,50.61,8,56.93,1,,0,56.93,1,4999.00,0,0,0,0,0.00,7,375,152,118,0.77632,0,0,0.02355,164,2,0,,0,0.00,0,0,,,0.00,0,0.00,0.00,0
2025-09-17,920312446415,商品,云米指纹锁电子锁密码锁智能门锁门蓝调3A旗舰店已接入米家app,407,13,12.43,0.03194,0.96,30.54,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,0,0.00,,0,0,0,0,0,0,,0,,0,,0,,0,,0,0.00,0,0,0,0,0.00,0,36,13,11,0.84615,0,0,0.08845,12,3,0,,0,0.00,0,0,,,0.00,0,0.00,0.00,0
2025-09-17,917091926716,商品,云米昆仑4矿泉制冰净水器制冷即热冰块一体直饮水家用台式净饮机,1818,47,99.22,0.02585,2.11,54.58,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,0,0.00,,3,3,0,0.06383,0,0,,3,33.07,3,33.07,0,,0,33.07,0,0.00,0,0,0,0,0.00,2,73,41,33,0.80488,0,0,0.04015,24,2,0,,0,0.00,0,0,,,0.00,0,0.00,0.00,0
2025-09-17,913043253833,商品,云米大黑翼24m?油烟机大吸力顶侧三吸吸油烟家用抽油烟机自清洁,2300,17,8.94,0.00739,0.53,3.89,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,0,0.00,,0,0,0,0,0,0,,0,,0,,0,,0,,0,0.00,0,0,0,0,0.00,1,89,33,32,0.9697,0,0,0.0387,9,3,0,,0,0.00,0,0,,,0.00,0,0.00,0.00,0
2025-09-17,902116631708,商品,云米矿泉台式净饮机即热式饮水机直饮家用矿化加热一体机净水器,5548,93,297.48,0.01676,3.20,53.62,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,0,0.00,,4,4,0,0.04301,0,0,,4,74.37,4,74.37,0,,0,74.37,0,0.00,0,0,0,0,0.00,2,151,76,70,0.92105,0,0,0.02722,56,2,0,,0,0.00,0,0,,,0.00,0,0.00,0.00,0
2025-09-17,884624431355,商品,云米蓝调智能门锁家用密码锁指纹锁电子门锁防盗门官方旗舰店正品,4635,98,200.87,0.02114,2.05,43.34,0.00,0,0.00,0,0.00,0,1898.00,0.00,1898.00,2,2,0,0.02041,9.45,100.44,4,4,0,0.04082,6,0,,10,20.09,10,20.09,6,33.48,0.06122,50.22,2,2898.00,6,0,0,0,0.00,7,179,91,62,0.68132,0,0,0.03862,63,2,2,1,0,0.00,0,2,1,949.00,0.00,0,0.00,0.00,0
