排序,别名,商品ID,券前价(元),活动类型,登记日期,活动状态,活动ID,活动名称,系统推送时间,商品名称,链接,69码
1,【升级小海豚】云米净水器800G通,405069782417,748.7,无,2025-10-16,审核中,无,无报名记录,无,,,
2,AI净饮机Super2,826920121377,1157,无,2025-10-16,审核中,无,无报名记录,无,云米矿泉台式净饮机即热式饮水机直饮家用矿化加热一体机净水器,https://mobile.yangkeduo.com/goods.html?goods_id=826920121377,
3,管线机Master3,604410073495,621,无,2025-10-16,审核中,无,无报名记录,无,云米冷热管线机饮水机壁挂式双出水台式管线机UV杀菌Master3,https://mobile.yangkeduo.com/goods.html?goods_id=832355139965,
4,即热1000G,364990106384,1449.00，1479.00,无,2025-10-16,审核中,无,无报名记录,无,云米即热净水器厨房家用直饮RO反渗透加热净饮一体机1000G,https://mobile.yangkeduo.com/goods.html?goods_id=364990106384,
5,两件套1000G+管线机,246986456918,1917,无,2025-10-16,审核中,无,无报名记录,无,【小海豚1000G管线机套装】云米净水器家用厨下一键即热制冷直饮,https://mobile.yangkeduo.com/goods.html?goods_id=832355139965,
6,小海豚2 1000G,244055989700,609,百亿补贴,2025-10-16,审核中,22180,百亿加倍补-电器大爆款报名,无,【25年新品0陈水】云米净水器小海豚2 1000G家用直饮厨下RO反渗透,https://mobile.yangkeduo.com/goods.html?goods_id=244055989700,
6,小海豚2 1000G,244055989700,609,百亿补贴,2025-10-16,审核中,22148,百亿补贴-百亿加倍补-特定商品报名链接,无,【25年新品0陈水】云米净水器小海豚2 1000G家用直饮厨下RO反渗透,https://mobile.yangkeduo.com/goods.html?goods_id=244055989700,
7,小海豚2 1000G（新）,309517106373,928,无,2025-10-16,审核中,无,无报名记录,无,【25年新品0陈水】云米净水器小海豚2 1000G家用直饮厨下RO反渗透,https://mobile.yangkeduo.com/goods.html?goods_id=309517106373,
8,小海豚2 1000G（新1）,832355139965,929,百亿补贴,2025-10-16,审核中,23531,百亿补贴电器限时降价（97折入口）,无,【25年新品0陈水】云米净水器小海豚2 1000G家用直饮厨下RO反渗透,https://mobile.yangkeduo.com/goods.html?goods_id=832355139965,
9,小海豚600G+,205458105137,"832.00,1175.00,1861.00",补贴秒杀,2025-10-16,审核中,17987,【精选首页】补贴秒杀品牌商品,无,【母婴直饮】云米净水器600G厨下式RO反渗透直饮过滤器净饮小海豚,https://mobile.yangkeduo.com/goods.html?goods_id=205458105137,
10,小海豚600G+（老）,225501370546,"2038.00,2057.00",无,2025-10-16,审核中,无,无报名记录,无,【重磅新品】云米净水器600G小海豚升级版厨下式RO反渗透直饮家用,https://mobile.yangkeduo.com/goods.html?goods_id=225501370546,
11,小海豚600G+（新）,819506595979,1440,无,2025-10-16,审核中,无,无报名记录,无,【母婴直饮】云米净水器 SE 600G+ 新升级厨下式RO反渗透直饮家用,https://mobile.yangkeduo.com/goods.html?goods_id=819506595979,
12,小海豚600G+冷热管线机套装,480070620581,759,无,2025-10-16,审核中,无,无报名记录,无,【冷热直饮套装】云米净水器家用厨下管线机套装一键即热制冷直饮,https://mobile.yangkeduo.com/goods.html?goods_id=480070620581,6923185653974
1,【升级小海豚】云米净水器800G通,405069782417,748.7,首页推荐专区,2025-10-16,活动中,21502,【上首页】极速通道（流量立享）,2025-10-13 13:29:36,,,
1,【升级小海豚】云米净水器800G通,405069782417,748.7,百亿补贴同价上首页,2025-10-16,活动中,21581,百亿补贴同价上首页,2024-09-24 11:49:41,,,
2,AI净饮机Super2,826920121377,1157,百亿补贴,2025-10-16,活动中,22827,百亿补贴报名入口-政府补贴（快速通道）,2025-09-30 10:44:27,云米矿泉台式净饮机即热式饮水机直饮家用矿化加热一体机净水器,https://mobile.yangkeduo.com/goods.html?goods_id=826920121377,
3,管线机Master3,604410073495,621,首页推荐专区,2025-10-16,活动中,21967,【上首页】流量续航（极速审核）,2025-09-30 17:07:02,云米冷热管线机饮水机壁挂式双出水台式管线机UV杀菌Master3,https://mobile.yangkeduo.com/goods.html?goods_id=832355139965,
4,即热1000G,364990106384,1449.00，1479.00,百亿补贴,2025-10-16,活动中,18425,百补商家自主降价链接,2025-10-16 11:50:49,云米即热净水器厨房家用直饮RO反渗透加热净饮一体机1000G,https://mobile.yangkeduo.com/goods.html?goods_id=364990106384,
4,即热1000G,364990106384,1449.00，1479.00,百亿补贴同价上首页,2025-10-16,活动中,21581,百亿补贴同价上首页,2025-02-18 16:01:03,云米即热净水器厨房家用直饮RO反渗透加热净饮一体机1000G,https://mobile.yangkeduo.com/goods.html?goods_id=364990106384,
4,即热1000G,364990106384,1449.00，1479.00,百亿补贴,2025-10-16,活动中,10441,百亿补贴报名入口,2025-02-18 16:00:57,云米即热净水器厨房家用直饮RO反渗透加热净饮一体机1000G,https://mobile.yangkeduo.com/goods.html?goods_id=364990106384,
5,两件套1000G+管线机,246986456918,1917,大促搜索池,2025-10-16,活动中,21364,平台官方活动-长期-品牌搜索推荐专区,2025-10-16 15:32:49,【小海豚1000G管线机套装】云米净水器家用厨下一键即热制冷直饮,https://mobile.yangkeduo.com/goods.html?goods_id=832355139965,
5,两件套1000G+管线机,246986456918,1917,大促搜索池,2025-10-16,活动中,20981,【11.11大促】20981长期报名入口,2025-10-15 10:48:19,【小海豚1000G管线机套装】云米净水器家用厨下一键即热制冷直饮,https://mobile.yangkeduo.com/goods.html?goods_id=832355139965,
5,两件套1000G+管线机,246986456918,1917,大促搜索池,2025-10-16,活动中,23149,平台官方活动-长期-搜索推荐专区,2025-09-30 12:09:00,【小海豚1000G管线机套装】云米净水器家用厨下一键即热制冷直饮,https://mobile.yangkeduo.com/goods.html?goods_id=832355139965,
5,两件套1000G+管线机,246986456918,1917,首页推荐专区,2025-10-16,活动中,21967,【上首页】流量续航（极速审核）,2025-09-30 12:06:53,【小海豚1000G管线机套装】云米净水器家用厨下一键即热制冷直饮,https://mobile.yangkeduo.com/goods.html?goods_id=832355139965,
5,两件套1000G+管线机,246986456918,1917,百亿补贴,2025-10-16,活动中,23581,百亿补贴报名入口-全国活动,2025-09-15 21:02:17,【小海豚1000G管线机套装】云米净水器家用厨下一键即热制冷直饮,https://mobile.yangkeduo.com/goods.html?goods_id=832355139965,
