Platform,URL,ProductName,SKU_Identifier,True_SKU_Identifier,Price,Limit_Price,Price_Status,Scrape_Date,Main_Image_URL,,,,,,,,,
京东,https://item.jd.com/10093429580106.html,垃圾处理器,6923185610250,10093429580106,899,899,价格正常,2025-12-30 15:21:54,,,,,,,,,,
京东,https://item.jd.com/10089198115504.html,免镁棒-60L-3000w热水器,6923185611899,10089198115504,799,799,价格正常,2025-12-30 15:23:56,,,,,,,,,,
京东,https://item.jd.com/100216835595.html,云米AI冷热管线机Super2 Pro,6923185655794,100216835595,1699.00,1699,价格正常,2025-12-30 15:28:28,,,,,,,,,,
京东,https://item.jd.com/10190186867694.html,云米AI冷热管线机Super2 Pro,6923185655794,10190186867694,1699.00,1699,价格正常,2025-12-30 15:28:52,,,,,,,,,,
京东,https://item.jd.com/10202290093822.html,昆仑4 弱碱Pro 1400G,6923185655718,10202290093822,2999.00,2999,价格正常,2025-12-30 15:29:22,,,,,,,,,,
京东,https://item.jd.com/100113886253.html,云米AI净水器Super 2Y 1200G,6923185653981,100113886253,1399.00,1399,价格正常,2025-12-30 15:30:03,,,,,,,,,,
淘系,https://detail.tmall.com/item.htm?&id=839274619649&skuId=5932213893350,昆仑3 即热矿泉,6923185654445,839274619649,2399,2399,价格正常,2025-12-30 15:32:14,,,,,,,,,,
淘系,https://detail.tmall.com/item.htm?&id=831641379841&skuId=5932143705073,云米AI昆仑矿泉净水机 Super 2E 2500,6923185654254,831641379841,1699,1699,价格正常,2025-12-30 15:32:33,,,,,,,,,,
淘系,https://detail.tmall.com/item.htm?&id=625597690034&skuId=5626578542751,云米·泉先AI净水器蓝调600G+,6923185653592,625597690034,679,679,价格正常,2025-12-30 15:32:39,,,,,,,,,,
京东,https://item.jd.com/10114588738475.html,云米AI昆仑矿泉净水机 Super 2E 2500,6923185654254,10114588738475,1599,1599,价格正常,2025-12-31 10:07:08,,,,,,,,,,
京东,https://item.jd.com/10190163229722.html,云米AI冷热管线机Super2 Pro,6923185655794,10190163229722,1599,1599,价格正常,2025-12-31 10:07:30,,,,,,,,,,
淘系,https://detail.tmall.com/item.htm?&id=839274619649&skuId=5932213893350,昆仑3 即热矿泉,6923185654445,839274619649,2399,2399,价格正常,2025-12-31 10:10:27,,,,,,,,,,
