"执行时间","商品ID","商品名称","改前线上价","修改后价格","调价依据"
"2026/4/13 11:04:49","850883552953","云米·泉先AI净水器蓝调600G+","648.99","614.99","竞对极低价:614.99 | 设定的底线价:649 | 采用策略:equal"
"2026/4/13 11:05:06","850344043841","云米AI净饮机Super 2","1002.76","1002.76","竞对极低价:1002.76 | 设定的底线价:1099 | 采用策略:equal"
"2026/4/13 11:05:22","849648457333","云米AI昆仑矿泉净水机 Super 2E 2500","1545.64","1545.64","竞对极低价:1545.64 | 设定的底线价:1599 | 采用策略:equal"
"2026/4/13 11:05:38","849000374681","云米AI净水器Super 2Y 1200G","1067.1","1185.42","竞对极低价:1185.42 | 设定的底线价:1299 | 采用策略:equal"
"2026/4/13 11:05:55","837301408995","云米AI冷热管线机Super2 Pro","1448.68","1448.68","竞对极低价:1448.68 | 设定的底线价:1599 | 采用策略:equal"
"2026/4/13 11:06:27","763759392708","云米AI油烟机 鲲鹏Pro","1903.23","1903.23","竞对极低价:1903.23 | 设定的底线价:2199 | 采用策略:equal"
"2026/4/13 11:06:43","761822913595","云米智能马桶 小鲸鱼 2 Pro","2398.7","2398.70","竞对极低价:2398.7 | 设定的底线价:2399 | 采用策略:equal"
"2026/4/13 11:07:00","743885774552"," 云米蓝调智能门锁（基础版）","538.77","538.77","竞对极低价:538.77 | 设定的底线价:589 | 采用策略:equal"
"2026/4/13 11:07:16","739863611562","云米AI油烟机 Smart 2 Pro","1359.15","1359.15","竞对极低价:1359.15 | 设定的底线价:1199 | 采用策略:equal"
"2026/4/13 11:07:46","364990106384","即热1000G MAIN84","1598.85","1598.85","竞对极低价:1598.85 | 设定的底线价:1599 | 采用策略:equal"
"2026/4/13 11:08:02","273348857003"," 云米蓝调智能门锁（基础版）","556.75","538.77","竞对极低价:538.77 | 设定的底线价:589 | 采用策略:equal"
"2026/4/13 11:08:19","259115850200","蓝调智能门锁（3D人脸版）","721.65","698.73","竞对极低价:698.73 | 设定的底线价:694.48 | 采用策略:equal"
"2026/4/13 11:08:54","208073193570","云米小厨宝6L","无活动/新上架","203.32","竞对极低价:203.32 | 设定的底线价:259 | 采用策略:equal"
"2026/4/13 11:09:10","205451808289","小厨宝","无活动/新上架","203.32","竞对极低价:203.32 | 设定的底线价:259 | 采用策略:equal"
"2026/4/16 10:07:09","868834124642","云米AI油烟机Super升级","无活动/新上架","1274.15","竞对极低价:1274.15 | 设定的底线价:1499 | 采用策略:equal"
"2026/4/16 10:07:27","852010588191","蓝调2Pro-JSQ30-VGW1641","934.15","934.15","竞对极低价:934.15 | 设定的底线价:999 | 采用策略:equal"
"2026/4/16 10:07:47","850883552953","云米·泉先AI净水器蓝调600G+","614.99","579.29","竞对极低价:579.29 | 设定的底线价:649 | 采用策略:equal"
"2026/4/16 10:08:25","832431516907","门锁普通版E30","448.95","509.15","竞对极低价:509.15 | 设定的底线价:454.15 | 采用策略:equal"
"2026/4/16 10:08:41","774960777953","蓝调2燃气热水器13L","593.3","594.15","竞对极低价:594.15 | 设定的底线价:599 | 采用策略:equal"
"2026/4/16 10:09:15","765112154467","小鲸鱼 马桶盖","749","698.40","竞对极低价:698.4 | 设定的底线价:699 | 采用策略:equal"
"2026/4/16 10:09:32","763759392708","云米AI油烟机 鲲鹏Pro","1903.23","2115.65","竞对极低价:2115.65 | 设定的底线价:2199 | 采用策略:equal"
"2026/4/16 10:09:52","739863611562","云米AI油烟机 Smart 2 Pro","1359.15","1359.15","竞对极低价:1359.15 | 设定的底线价:1199 | 采用策略:equal"
"2026/4/16 10:10:08","657344402006","云米油烟机蓝调","859","859.00","竞对极低价:859 | 设定的底线价:1199 | 采用策略:equal"
"2026/4/16 10:10:47","220820325711","云米消毒柜（嵌入式）云米版","899","764.15","竞对极低价:764.15 | 设定的底线价:999 | 采用策略:equal"
"2026/4/16 10:11:03","219486126363","flash烟机","1398","764.15","竞对极低价:764.15 | 设定的底线价:999 | 采用策略:equal"
"2026/4/16 10:11:42","208073193570","云米小厨宝6L","298","203.32","竞对极低价:203.32 | 设定的底线价:259 | 采用策略:equal"
"2026/4/16 10:12:02","205451808289","小厨宝","298","203.32","竞对极低价:203.32 | 设定的底线价:259 | 采用策略:equal"
"2026/4/17 10:14:22","908879495872","smart 前置过滤器 （VF4-A）","288.57","289.00","竞对极低价:288.57 | 设定的底线价:399 | 采用策略:conservative"
"2026/4/17 10:14:46","850883552953","云米·泉先AI净水器蓝调600G+","579.29","579.00","竞对极低价:579.29 | 设定的底线价:649 | 采用策略:conservative"
"2026/4/17 10:15:04","849648457333","云米AI昆仑矿泉净水机 Super 2E 2500","1545.64","1459.00","竞对极低价:1456.73 | 设定的底线价:1599 | 采用策略:conservative"
"2026/4/17 10:15:26","832431516907","门锁普通版E30","509.15","499.00","竞对极低价:499 | 设定的底线价:454.15 | 采用策略:conservative"
"2026/4/17 10:16:16","364990106384","即热1000G MAIN84","1598.85","1359.00","竞对极低价:1359.15 | 设定的底线价:1599 | 采用策略:conservative"
"2026/4/17 10:28:46","739863611562","云米AI油烟机 Smart 2 Pro","1359.15","1359.00","竞对极低价:1359.15 | 设定的底线价:1199 | 采用策略:conservative"
"2026/4/17 10:29:22","219486126363","flash烟机","764.15","899.00","竞对极低价:899 | 设定的底线价:999 | 采用策略:conservative"
