"id","Platform","URL","latest_price","previous_price","price_change","price_status"
310,"京东","https://item.jd.com/100147404904.html","1699.00","1649",50,"涨价"
314,"京东","https://item.jd.com/10110061303564.html","1199.00","1149",50,"涨价"
326,"京东","https://item.jd.com/100147404880.html","569","568",1,"涨价"
329,"京东","https://item.jd.com/10168369255857.html","799","699",100,"涨价"
333,"京东","https://item.jd.com/10168149542890.html","1019.15","1104.15",-85.00000000000011,"注意，商品降价"
341,"淘系","https://detail.tmall.com/item.htm?id=687391859258","878","3255",-2377,"涨价"
349,"淘系","https://detail.tmall.com/item.htm?id=622906064684","699","619",80,"涨价"
352,"淘系","http://item.taobao.com/item.htm?id=578994373748","674","699",-25,"注意，商品降价"
354,"淘系","http://item.taobao.com/item.htm?id=687328316706","684","699",-15,"注意，商品降价"
359,"淘系","https://detail.tmall.com/item.htm?id=920312446415","661","699",-38,"注意，商品降价"
362,"淘系","https://detail.tmall.com/item.htm?id=867339045616","2569","2869",-300,"注意，商品降价"
364,"淘系","http://item.taobao.com/item.htm?id=954285336663","1489","1669",-180,"注意，商品降价"
365,"米家有品","https://www.xiaomiyoupin.com/detail?gid=176835","2699","1499",1200,"涨价"
375,"米家有品","https://www.xiaomiyoupin.com/detail?gid=169978","1119","799",320,"注意，商品降价"
379,"米家有品","https://m.xiaomiyoupin.com/detail?gid=171451","719","1449",-730,"涨价"
384,"米家有品","https://m.xiaomiyoupin.com/detail?gid=176747","1249","1149",100,"涨价"
385,"米家有品","https://m.xiaomiyoupin.com/detail?gid=171094","2209","2249",-40,"注意，商品降价"
